House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
35,Mills Brook,Gerald,Brown,33,Head,Single,Male,Management consultant,None,None
35,Mills Brook,Beth,Williams,31,Partner,Single,Female,Archaeologist,None,None
35,Mills Brook,Rita,Brown,14,Daughter,NA,Female,Student,None,NA
35,Mills Brook,Carl,Brown,12,Son,NA,Male,Student,None,NA
36,Mills Brook,Annette,Day,47,Head,Single,Female,Public relations officer,None,Christian
36,Mills Brook,Jean,Day,20,Daughter,Single,Female,University Student,None,None
36,Mills Brook,Dominic,Day,17,Son,NA,Male,Student,None,NA
36,Mills Brook,Mohamed,Day,13,Son,NA,Male,Student,None,NA
36,Mills Brook,Sara,Day,10,Daughter,NA,Female,Student,None,NA
37,Mills Brook,Sharon,Jones,57,Head,Married,Female,Publishing copy,Mental Disability,Christian
37,Mills Brook,James,Jones,56,Husband,Married,Male,Volunteer coordinator,None,Christian
37,Mills Brook,Chloe,Jones,39,Daughter,Single,Female,Advertising account planner,None,Christian
38,Mills Brook,Katie,Bradley,84,Head,Married,Female,Retired Music therapist,None,Methodist
38,Mills Brook,Jeremy,Bradley,85,Husband,Married,Male,Retired Archaeologist,None,Methodist
39,Mills Brook,Paula,Thompson,37,Head,Single,Female,Further education lecturer,None,Catholic
39,Mills Brook,Shane,Stanley,40,Partner,Single,Male,Economist,None,None
40,Mills Brook,Suzanne,Goodwin,72,Head,Married,Female,Retired Environmental health practitioner,None,None
40,Mills Brook,Francis,Goodwin,75,Husband,Married,Male,Retired Claims inspector/assessor,Unknown Infection,None
41,Mills Brook,Gemma,Hall,35,Head,Single,Female,Television/film/video producer,None,Methodist
41,Mills Brook,Chelsea,Hall,15,Daughter,NA,Female,Student,None,NA
41,Mills Brook,Bryan,Hall,12,Son,NA,Male,Student,None,NA
41,Mills Brook,Jasmine,Hall,11,Daughter,NA,Female,Student,None,NA
41,Mills Brook,Liam,Hall,7,Son,NA,Male,Student,None,NA
42,Mills Brook,Lauren,Moran,57,Head,Single,Female,Osteopath,None,Christian
42,Mills Brook,Christopher,Moran,17,Son,NA,Male,Student,None,NA
42,Mills Brook,Bethany,Moran,13,Daughter,NA,Female,Student,None,NA
42,Mills Brook,Abbie,Moran,10,Daughter,NA,Female,Student,None,NA
43,Mills Brook,Kelly,Douglas,70,Head,Married,Female,Retired Fisheries officer,None,Methodist
43,Mills Brook,Maureen,Douglas,74,Wife,Married,Female,Retired Therapeutic radiographer,None,None
44,Mills Brook,Joseph,Russell,59,Head,Single,Male,"Administrator, Civil Service",None,Methodist
45,Mills Brook,Rosemary,Berry,64,Head,Single,Female,Barrister's clerk,None,None
45,Mills Brook,Justin,Harrison,64,None,Single,Male,Visual merchandiser,None,Christian
45,Mills Brook,Alex,Cartwright,19,None,Single,Male,University Student,None,None
45,Mills Brook,Mandy,Jones,38,None,Single,Female,Dance movement psychotherapist,None,Methodist
46,Mills Brook,Amelia,Smith,49,Head,Single,Female,Unemployed,None,None
46,Mills Brook,Derek,Smith,15,Son,NA,Male,Student,None,NA
46,Mills Brook,Leslie,Smith,14,Son,NA,Male,Student,None,NA
46,Mills Brook,Vincent,Smith,13,Adopted Son,NA,Male,Student,None,NA
46,Mills Brook,Brian,Smith,12,Son,NA,Male,Student,None,NA
47,Mills Brook,Louis,Sullivan,75,Head,Married,Male,Retired Company secretary,None,None
47,Mills Brook,Hazel,Sullivan,70,Wife,Married,Female,Retired Archivist,None,None
48,Mills Brook,Harry,Scott,36,Head,Divorced,Male,Unemployed,None,None
48,Mills Brook,Samuel,Scott,3,Son,NA,Male,Child,None,NA
49,Mills Brook,Jacqueline,Clarke,43,Head,Divorced,Female,Public librarian,None,None
49,Mills Brook,Lawrence,Clarke,12,Son,NA,Male,Student,None,NA
49,Mills Brook,Dean,Clarke,9,Son,NA,Male,Student,None,NA
49,Mills Brook,Brenda,Clarke,8,Daughter,NA,Female,Student,None,NA
49,Mills Brook,Jill,Clarke,8,Daughter,NA,Female,Student,None,NA
50,Mills Brook,Terry,Owen,103,Head,Married,Male,"Retired Engineer, structural",None,Catholic
50,Mills Brook,Kirsty,Owen,106,Wife,Married,Female,Retired Chief Financial Officer,None,Catholic
51,Mills Brook,Olivia,Davies,29,Head,Divorced,Female,Freight forwarder,None,None
51,Mills Brook,Zoe,Davies,11,Daughter,NA,Female,Student,None,NA
52,Mills Brook,Neil,Lawrence,74,Head,Widowed,Male,Retired Financial manager,None,Christian
53,Mills Brook,Jennifer,Smith,34,Head,Married,Female,"Engineer, agricultural",None,Muslim
53,Mills Brook,Trevor,Smith,34,Husband,Married,Male,Newspaper journalist,None,Muslim
54,Mills Brook,Kimberley,Barnes,23,Head,Single,Female,"Scientist, research (medical)",None,Christian
55,Mills Brook,Samantha,Perry,35,Head,Single,Female,Leisure centre manager,None,None
55,Mills Brook,Jeremy,Dixon,58,None,Single,Male,"Conservator, furniture",None,Methodist
56,Mills Brook,Denise,Robertson,65,Head,Widowed,Female,Horticultural consultant,None,None
57,Mills Brook,Marcus,Bennett,23,Head,Married,Male,Media buyer,None,Catholic
57,Mills Brook,Emma,Bennett,21,Wife,Married,Female,University Student,None,None
1,Davison Lane,Alan,Jackson,66,Head,Divorced,Male,Unemployed,None,None
2,Davison Lane,Brenda,Davies,37,Head,Single,Female,Fitness centre manager,None,Jewish
2,Davison Lane,Geoffrey,Sharpe,25,None,Single,Male,Civil Service fast streamer,None,None
2,Davison Lane,Dorothy,Spencer,63,None,Single,Female,"Designer, television/film set",None,Methodist
3,Davison Lane,Elaine,Sullivan,35,Head,Single,Female,Unemployed,None,None
3,Davison Lane,Francis,Hewitt,40,Partner,Single,Male,Senior tax professional/tax inspector,None,None
3,Davison Lane,Phillip,Sullivan,16,Son,NA,Male,Student,None,NA
3,Davison Lane,Carolyn,Sullivan,14,Daughter,NA,Female,Student,None,NA
4,Davison Lane,Deborah,Berry,28,Head,Married,Female,Merchant navy officer,None,None
4,Davison Lane,Frank,Berry,33,Husband,Married,Male,Chief Technology Officer,None,None
4,Davison Lane,Margaret,Gibbons,7,Daughter,NA,Female,Student,None,NA
5,Davison Lane,Emma,Sanders,40,Head,Single,Female,Chartered certified accountant,None,None
5,Davison Lane,Michael,Sanders,6,Son,NA,Male,Student,None,NA
5,Davison Lane,Vanessa,Sanders,3,Daughter,NA,Female,Child,None,NA
6,Davison Lane,Anna,Warner,43,Head,Married,Female,Learning disability nurse,None,Christian
6,Davison Lane,Julian,Warner,45,Husband,Married,Male,"Engineer, site",None,Christian
6,Davison Lane,Kirsty,Warner,11,Daughter,NA,Female,Student,None,NA
7,Davison Lane,Lydia,Sykes,40,Head,Single,Female,Lexicographer,None,None
7,Davison Lane,Jacob,Knowles,41,Partner,Single,Male,Broadcast journalist,None,None
7,Davison Lane,Jack,Sykes,24,Son,Single,Male,"Engineer, civil (consulting)",None,None
7,Davison Lane,Natasha,Sykes,21,Daughter,Single,Female,University Student,None,None
7,Davison Lane,Wayne,Sykes,13,Son,NA,Male,Student,None,NA
8,Davison Lane,Susan,Wells,62,Head,Married,Female,Print production planner,None,Christian
8,Davison Lane,Damien,Wells,63,Husband,Married,Male,Accommodation manager,None,None
8,Davison Lane,Barry,Wells,29,Son,Divorced,Male,Tourism officer,None,Christian
8,Davison Lane,Josephine,Wells,26,Daughter,Single,Female,"Engineer, technical sales",None,Christian
8,Davison Lane,Hugh,Wells,5,Son,NA,Male,Student,None,NA
9,Davison Lane,Anne,Collins,53,Head,Single,Female,Curator,None,Christian
9,Davison Lane,Allan,Middleton,62,None,Single,Male,Patent attorney,None,None
9,Davison Lane,Julian,Butler,59,None,Single,Male,Unemployed,None,Christian
9,Davison Lane,Ann,Myers,22,None,Single,Female,University Student,None,None
10,Davison Lane,Beth,Walsh,66,Head,Married,Female,Exhibition designer,None,None
10,Davison Lane,Jack,Walsh,68,Husband,Married,Male,Retired Firefighter,None,None
10,Davison Lane,Gregory,Walsh,39,Son,Widowed,Male,Learning mentor,None,None
11,Davison Lane,Diane,Garner,39,Head,Married,Female,Mudlogger,None,None
11,Davison Lane,Conor,Garner,41,Husband,Married,Male,Mental health nurse,None,None
11,Davison Lane,Beverley,Garner,12,Daughter,NA,Female,Student,None,NA
12,Davison Lane,Heather,Roberts,18,Head,Single,Female,University Student,None,Methodist
12,Davison Lane,Stewart,Hobbs,21,None,Single,Male,University Student,None,Catholic
12,Davison Lane,Gareth,Benson,21,None,Single,Male,University Student,None,Methodist
12,Davison Lane,Charlie,Smith,21,None,Single,Male,University Student,None,Methodist
13,Davison Lane,Ashleigh,Clarke,49,Head,Married,Female,Forest/woodland manager,None,Christian
13,Davison Lane,Norman,Clarke,50,Husband,Married,Male,Nature conservation officer,None,Christian
13,Davison Lane,Elliott,Clarke,14,Son,NA,Male,Student,None,NA
14,Davison Lane,Mary,Thomas,32,Head,Single,Female,Medical laboratory scientific officer,None,Catholic
14,Davison Lane,Owen,Thomas,11,Step-Son,NA,Male,Student,None,NA
14,Davison Lane,Rebecca,Thomas,7,Step-Daughter,NA,Female,Student,None,NA
14,Davison Lane,Laura,Begum,6,Step-Daughter,NA,Female,Student,None,NA
15,Davison Lane,Deborah,Dean,45,Head,Married,Female,Public relations account executive,None,Methodist
15,Davison Lane,Graham,Dean,48,Husband,Married,Male,Web designer,None,Methodist
15,Davison Lane,Joshua,Dean,14,Son,NA,Male,Student,None,NA
16,Davison Lane,Rosie,Slater,31,Head,Single,Female,Unemployed,None,None
16,Davison Lane,Ian,Ball,33,Partner,Single,Male,Broadcast engineer,None,None
16,Davison Lane,Garry,Slater,2,Son,NA,Male,Child,None,NA
17,Davison Lane,Tracy,Gallagher,57,Head,Divorced,Female,Unemployed,None,Christian
17,Davison Lane,Melanie,Gallagher,33,Daughter,Single,Female,General practice doctor,None,Christian
17,Davison Lane,Norman,Gallagher,28,Son,Single,Male,"Scientist, physiological",None,Christian
18,Davison Lane,Abbie,Hughes,41,Head,Divorced,Female,Unemployed,None,Catholic
18,Davison Lane,Nigel,Hughes,11,Son,NA,Male,Student,None,NA
18,Davison Lane,Julie,Hughes,10,Daughter,NA,Female,Student,None,NA
19,Davison Lane,Tracey,Barker,61,Head,Married,Female,"Scientist, research (life sciences)",None,None
19,Davison Lane,Frank,Barker,61,Husband,Married,Male,"Chemist, analytical",None,None
19,Davison Lane,Charlotte,Brown,16,Granddaughter,NA,Female,Student,None,NA
20,Davison Lane,Mary,Goodwin,43,Head,Married,Female,"Programme researcher, broadcasting/film/video",None,Catholic
20,Davison Lane,Clifford,Goodwin,42,Husband,Married,Male,"Administrator, sports",None,None
20,Davison Lane,Zoe,Goodwin,15,Daughter,NA,Female,Student,None,NA
1,Reptonburn Avenue,Maureen,Brown,51,Head,Married,Female,Passenger transport manager,None,None
1,Reptonburn Avenue,Jason,Brown,57,Husband,Married,Male,Community education officer,None,None
1,Reptonburn Avenue,Edward,Brown,11,Nephew,NA,Male,Student,None,NA
1,Reptonburn Avenue,Marie,Harris,9,Neice,NA,Female,Student,None,NA
2,Reptonburn Avenue,Pamela,Richards,58,Head,Married,Female,"Producer, television/film/video",None,Christian
2,Reptonburn Avenue,Scott,Richards,60,Husband,Married,Male,Accommodation manager,None,None
2,Reptonburn Avenue,Roy,Richards,25,Son,Single,Male,Quality manager,None,Christian
2,Reptonburn Avenue,Michael,Richards,21,Son,Single,Male,University Student,None,None
2,Reptonburn Avenue,Ben,Richards,3,Son,NA,Male,Child,None,NA
3,Reptonburn Avenue,Deborah,Gibson,68,Head,Married,Female,Retired IT technical support officer,None,Christian
3,Reptonburn Avenue,Victor,Gibson,72,Husband,Married,Male,Retired Research scientist (life sciences),None,None
3,Reptonburn Avenue,Bethan,Gibson,27,Daughter,Divorced,Female,Occupational hygienist,None,None
3,Reptonburn Avenue,Jade,Morris,24,Daughter,Divorced,Female,"Teacher, early years/pre",None,Christian
4,Reptonburn Avenue,Kate,Wilkinson,28,Head,Married,Female,Quality manager,None,None
4,Reptonburn Avenue,Kyle,Wilkinson,30,Husband,Married,Male,Legal executive,None,None
4,Reptonburn Avenue,Philip,Wilkinson,4,Son,NA,Male,Child,None,NA
4,Reptonburn Avenue,Holly,Wilkinson,1,Daughter,NA,Female,Child,None,NA
5,Reptonburn Avenue,Jacqueline,Barnes,36,Head,Married,Female,English as a second language teacher,None,Methodist
5,Reptonburn Avenue,Simon,Barnes,39,Husband,Married,Male,Catering manager,None,Methodist
5,Reptonburn Avenue,Toby,Barnes,13,Son,NA,M,Student,None,NA
5,Reptonburn Avenue,Leanne,Barnes,11,Daughter,NA,Female,Student,None,NA
5,Reptonburn Avenue,Ruth,Barnes,8,Daughter,NA,Female,Student,None,NA
6,Reptonburn Avenue,Garry,Hutchinson,62,Head,Divorced,Male,Geophysicist/field seismologist,None,Christian
6,Reptonburn Avenue,Patrick,Hutchinson,41,Son,Single,M,Unemployed,None,Christian
7,Reptonburn Avenue,Sheila,Hobbs,44,Head,Married,Female,Acupuncturist,None,None
7,Reptonburn Avenue,Sean,Hobbs,46,Husband,Married,Male,Armed forces operational officer,None,None
7,Reptonburn Avenue,Jordan,Hobbs,6,Son,NA,Male,Student,None,NA
7,Reptonburn Avenue,Elliot,Hobbs,4,Son,NA,Male,Child,None,NA
8,Reptonburn Avenue,Melissa,Brown,35,Head,Married,Female,Film/video editor,None,Methodist
8,Reptonburn Avenue,Paul,Brown,41,Husband,Married,Male,Horticultural therapist,None,Methodist
8,Reptonburn Avenue,Rosie,Barnett-Brown,6,Daughter,NA,Female,Student,None,NA
8,Reptonburn Avenue,Jodie,Barnett-Brown,2,Daughter,NA,Female,Child,None,NA
9,Reptonburn Avenue,Suzanne,Burton,30,Head,Married,Female,"Engineer, civil (contracting)",None,None
9,Reptonburn Avenue,Gerald,Burton,32,Husband,Married,Male,Electrical engineer,None,None
9,Reptonburn Avenue,Tom,Burton,12,Son,NA,Male,Student,None,NA
9,Reptonburn Avenue,Frank,Johnson-Burton,11,Son,NA,Male,Student,None,NA
10,Reptonburn Avenue,Pamela,Leach,46,Head,Married,Female,Printmaker,None,Christian
10,Reptonburn Avenue,Christian,Leach,51,Husband,Married,Male,"Teacher, adult education",None,Christian
10,Reptonburn Avenue,Clare,Leach,12,Adopted Daughter,NA,Female,Student,None,NA
10,Reptonburn Avenue,Keith,Leach,12,Son,NA,Male,Student,None,NA
11,Reptonburn Avenue,Danielle,Jones,47,Head,Married,Female,Public librarian,None,Christian
11,Reptonburn Avenue,Mohammed,Jones,49,Husband,Married,Male,Manufacturing systems engineer,None,None
11,Reptonburn Avenue,Yvonne,Jones,26,Adopted Daughter,Single,Female,Unemployed,None,Christian
11,Reptonburn Avenue,Ryan,Jennings-Jones,23,Son,Divorced,Male,Advertising copywriter,None,Christian
11,Reptonburn Avenue,Sharon,Jennings-Jones,21,Daughter,Divorced,Female,University Student,None,None
11,Reptonburn Avenue,Graeme,Jennings-Jones,6,Son,NA,Male,Student,None,NA
12,Reptonburn Avenue,Susan,Robinson,70,Head,Widowed,Female,Retired Agricultural consultant,None,Christian
12,Reptonburn Avenue,Bryan,Robinson,31,Son,Single,Male,Chartered certified accountant,None,None
13,Reptonburn Avenue,Norman,Jackson,58,Head,Married,Male,Community education officer,None,None
13,Reptonburn Avenue,Marian,Jackson,56,Wife,Married,Female,Private music teacher,None,None
13,Reptonburn Avenue,Danny,Cole,4,Adopted Grandson,NA,Male,Child,None,NA
13,Reptonburn Avenue,Max,Howell,59,Lodger,Divorced,Male,"Education officer, environmental",None,Christian
14,Reptonburn Avenue,Aimee,Foster,40,Head,Single,Female,Research scientist (life sciences),None,None
14,Reptonburn Avenue,Melissa,Foster,14,Daughter,NA,Female,Student,None,NA
14,Reptonburn Avenue,Lynn,Foster,12,Daughter,NA,Female,Student,None,NA
15,Reptonburn Avenue,Josh,Simmons,66,Head,Married,Male,Building control surveyor,None,Catholic
15,Reptonburn Avenue,Amber,Simmons,63,Wife,Married,Female,Computer games developer,None,Catholic
15,Reptonburn Avenue,Caroline,Simmons,11,Granddaughter,NA,Female,Student,None,NA
15,Reptonburn Avenue,Hugh,Simmons,7,Grandson,NA,Male,Student,None,NA
16,Reptonburn Avenue,Angela,Mahmood,28,Head,Married,Female,Unemployed,None,Catholic
16,Reptonburn Avenue,Barry,Mahmood,26,Husband,Married,Male,Dramatherapist,None,Catholic
16,Reptonburn Avenue,Sam,Warren,3,Son,NA,Male,Child,None,NA
16,Reptonburn Avenue,Julie,Jarvis,56,Lodger,Single,Female,Sub,None,Christian
17,Reptonburn Avenue,Aimee,Morgan,23,Head,Married,Female,"Designer, television/film set",None,None
17,Reptonburn Avenue,Bruce,Morgan,26,Husband,Married,Male,"Journalist, broadcasting",None,None
18,Reptonburn Avenue,Sophie,Khan,41,Head,Married,Female,"Scientist, water quality",None,None
18,Reptonburn Avenue,Frederick,Khan,47,Husband,Married,Male,Geophysical data processor,None,None
18,Reptonburn Avenue,Owen,West,46,Lodger,Single,Male,Sub,None,Christian
18,Reptonburn Avenue,Justin,Stone,24,Lodger,Divorced,Male,Unemployed,None,Catholic
19,Reptonburn Avenue,Lindsey,Henderson,61,Head,Married,Female,Consulting civil engineer,None,Methodist
19,Reptonburn Avenue,Timothy,Henderson,60,Husband,Married,Male,Geochemist,None,Methodist
19,Reptonburn Avenue,Ian,Henderson,20,Son,Single,Male,University Student,None,Methodist
19,Reptonburn Avenue,Clifford,Henderson,17,Son,NA,Male,Student,None,NA
20,Reptonburn Avenue,Jade,Houghton,58,Head,Widowed,Female,Mudlogger,None,Christian
20,Reptonburn Avenue,Martyn,Houghton,22,Son,Single,Male,University Student,None,Christian
1,King Shore,Joan,Oliver,77,Head,Married,Female,"Retired Therapist, speech and language",None,Christian
1,King Shore,Leonard,Oliver,74,Husband,Married,Male,Retired Publishing copy,None,Christian
2,King Shore,Pamela,Smith,60,Head,Married,Female,"Engineer, maintenance (IT)",None,Christian
2,King Shore,Leigh,Smith,58,Husband,Married,Male,Paramedic,None,Christian
3,King Shore,Timothy,King,40,Head,Married,Male,Insurance claims handler,None,Sikh
3,King Shore,Lindsey,King,44,Wife,Married,Female,Accounting technician,None,None
3,King Shore,Diana,King,5,Daughter,NA,Female,Student,Physical Disability,NA
4,King Shore,Mathew,Davies,38,Head,Married,Male,"Engineer, agricultural",None,Christian
4,King Shore,Chelsea,Davies,34,Wife,Married,Female,Special educational needs teacher,None,Christian
4,King Shore,Margaret,Davies,5,Daughter,NA,Female,Student,None,NA
5,King Shore,Carolyn,Jennings,56,Head,Married,Female,Financial planner,None,None
5,King Shore,Bruce,Jennings,58,Husband,Married,Male,Financial risk analyst,None,None
5,King Shore,Liam,Jennings,26,Son,Single,Male,Patent examiner,None,None
5,King Shore,Keith,Jennings,10,Son,NA,Male,Student,None,NA
6,King Shore,Stanley,Page,52,Head,Single,Male,Unemployed,None,Christian
6,King Shore,Conor,Page,28,Son,Divorced,Male,Materials engineer,None,Christian
7,King Shore,Francesca,Ross,48,Head,Single,Female,Community arts worker,None,Catholic
7,King Shore,Reece,Hope,52,Partner,Single,Male,Records manager,None,Catholic
7,King Shore,Lesley,Ross,12,Daughter,NA,Female,Student,None,NA
7,King Shore,Martin,Ross,11,Son,NA,M,Student,None,NA
7,King Shore,Lee,Ross,9,Son,NA,Male,Student,None,NA
8,King Shore,Eleanor,Smart,62,Head,Divorced,Female,Sales promotion account executive,None,None
8,King Shore,Mary,Smart,39,Daughter,Divorced,Female,Dispensing optician,None,None
8,King Shore,Ruth,Shah,35,Daughter,Divorced,Female,Unemployed,None,None
8,King Shore,Georgia,Shah,26,Daughter,Single,Female,Insurance underwriter,None,None
8,King Shore,Jack,Shah,23,Son,Divorced,Male,"Scientist, research (maths)",None,None
9,King Shore,Joshua,Jones,67,Head,Widowed,Male,Lexicographer,None,None
9,King Shore,Christine,Osborne-Jones,14,Granddaughter,NA,Female,Student,None,NA
9,King Shore,Melanie,Osborne-Jones,13,Granddaughter,NA,Female,Student,None,NA
9,King Shore,Kenneth,Osborne-Jones,9,Grandson,NA,Male,Student,None,NA
9,King Shore,Mohamed,Osborne-Jones,1,Grandson,NA,Male,Child,None,NA
10,King Shore,Zoe,Dale,36,Head,Single,Female,"Surveyor, quantity",None,Catholic
10,King Shore,Frederick,Day-Dale,12,Son,NA,Male,Student,None,NA
11,King Shore,Shannon,Scott,30,Head,Married,Female,Financial manager,None,None
11,King Shore,Bernard,Scott,33,Husband,Married,Male,Web designer,None,None
11,King Shore,Maurice,Scott,4,Son,NA,Male,Child,None,NA
12,King Shore,Martin,Hall,47,Head,Single,Male,Cabin crew,None,Catholic
13,King Shore,Zoe,Smith,30,Head,Married,Female,Patent attorney,None,Muslim
13,King Shore,Glen,Smith,30,Husband,Married,Male,Seismic interpreter,None,None
14,King Shore,Natalie,Graham,28,Head,Married,female,Company secretary,None,Christian
14,King Shore,Lee,Morton,30,Husband,Married,Male,Learning disability nurse,None,Christian
15,King Shore,Samuel,Goodwin,82,Head,Married,Male,Retired Investment analyst,None,Christian
15,King Shore,Beth,Goodwin,75,Wife,Married,Female,"Retired Scientist, research (life sciences)",None,None
16,King Shore,Frances,Parry,33,Head,Single,Female,Social worker,None,None
17,King Shore,Geraldine,Nixon,70,Head,Single,Female,Retired Environmental manager,None,Christian
17,King Shore,Lynn,Nixon,17,Granddaughter,NA,Female,Student,None,NA
18,King Shore,Shirley,Evans,66,Head,Divorced,Female,"Embryologist, clinical",None,Christian
19,King Shore,Barbara,Wood,49,Head,Married,Female,Arboriculturist,None,Christian
19,King Shore,Harry,Wood,51,Husband,Married,Male,Unemployed,None,Christian
19,King Shore,Karen,Wood,28,Daughter,Divorced,Female,Psychiatrist,None,Christian
19,King Shore,Lynn,Wood,24,Daughter,Single,Female,Unemployed,None,Christian
20,King Shore,Tony,Dixon,82,Head,Divorced,Male,Retired Broadcast engineer,None,Christian
21,King Shore,Gillian,Peters,63,Head,Married,Female,"Education officer, environmental",None,Christian
21,King Shore,Geoffrey,Peters,66,Husband,Married,Male,"Psychologist, forensic",None,Christian
21,King Shore,Rita,Peters,26,Daughter,Single,Female,Customer service manager,None,Christian
21,King Shore,Stacey,Peters,21,Daughter,Divorced,Female,University Student,None,None
21,King Shore,Daniel,Peters,4,Son,NA,Male,Child,None,NA
22,King Shore,Judith,Rogers,32,Head,Married,Female,"Scientist, research (medical)",None,None
22,King Shore,Connor,Rogers,34,Husband,Married,Male,"Buyer, industrial",None,None
22,King Shore,Damien,Rogers,4,Son,NA,Male,Child,None,NA
22,King Shore,Peter,Lees,1,Son,NA,Male,Child,None,NA
23,King Shore,Eileen,Giles,29,Head,Single,Female,Unemployed,None,Catholic
23,King Shore,Andrew,Giles,9,Son,NA,Male,Student,None,NA
23,King Shore,Mohammed,Giles,5,Son,NA,Male,Student,None,NA
23,King Shore,Jane,Giles,1,Daughter,NA,Female,Child,None,NA
24,King Shore,Chloe,Chadwick,44,Head,Married,Female,Housing manager/officer,None,None
24,King Shore,Jason,Chadwick,46,Husband,Married,Male,Marketing executive,None,None
24,King Shore,Annette,Chadwick,15,Daughter,NA,Female,Student,None,NA
25,King Shore,Leslie,Patel,40,Head,Single,Male,Armed forces logistics/support/administrative officer,None,None
26,King Shore,Yvonne,Harris,41,Head,Married,Female,Biomedical engineer,None,Methodist
26,King Shore,Michael,Harris,43,Husband,Married,Male,Special educational needs teacher,None,None
26,King Shore,Iain,Harris,14,Son,NA,Male,Student,None,NA
27,King Shore,Sally,Jenkins,76,Head,Married,Female,Retired Barista,None,Christian
27,King Shore,Tony,Jenkins-Norris,78,Husband,Married,Male,Retired Advertising account executive,None,Christian
27,King Shore,Jodie,Jenkins-Norris,30,Daughter,Single,Female,"Surveyor, minerals",None,None
27,King Shore,Sara,Jenkins-Norris,28,Daughter,Single,Female,Museum/gallery exhibitions officer,None,None
28,King Shore,Marian,Turner,47,Head,Married,Female,"Psychologist, clinical",None,None
28,King Shore,Duncan,Turner,49,Husband,Married,Male,Technical author,None,None
28,King Shore,Hannah,Ahmed,11,Daughter,NA,Female,Student,None,NA
28,King Shore,Linda,Ahmed,9,Daughter,NA,Female,Student,None,NA
28,King Shore,Nicola,Ahmed,7,Daughter,NA,Female,Student,None,NA
29,King Shore,Gerald,Webb,45,Head,Married,Male,Armed forces technical officer,None,None
29,King Shore,Josephine,Webb,45,Wife,Married,Female,Multimedia specialist,None,None
30,King Shore,Teresa,Baker,25,Head,Divorced,Female,Unemployed,None,None
30,King Shore,Leon,Garner,46,Lodger,Divorced,Male,Textile designer,None,Catholic
30,King Shore,Mitchell,Fletcher,53,Lodger,Single,Male,Private music teacher,None,Christian
31,King Shore,Valerie,Watkins,41,Head,Single,Female,Electrical engineer,None,Catholic
32,King Shore,Malcolm,Thomson,63,Head,Single,Male,Unemployed,None,Catholic
33,King Shore,Patricia,Holloway,60,Head,Married,Female,Ranger/warden,None,Catholic
33,King Shore,Andrew,Holloway,60,Husband,Married,Male,International aid/development worker,None,None
33,King Shore,Kathryn,Holloway,26,Daughter,Divorced,Female,"Designer, ceramics/pottery",None,Catholic
33,King Shore,Beverley,Holloway,23,Daughter,Single,Female,Occupational hygienist,None,Catholic
33,King Shore,Jeffrey,Holloway,5,Son,NA,Male,Student,None,NA
34,King Shore,Dylan,Abbott,64,Head,Single,Male,"Engineer, aeronautical",None,Christian
35,King Shore,Lynn,Bowen,36,Head,Single,Female,Garment/textile technologist,None,Catholic
35,King Shore,Dean,Lyons,13,Son,NA,Male,Student,None,NA
36,King Shore,Patrick,Clements,51,Head,Married,Male,Further education lecturer,None,Christian
36,King Shore,Karen,Clements,50,Wife,Married,Female,Transport planner,None,None
37,King Shore,Lee,Richards,62,Head,Single,Male,Bookseller,None,None
37,King Shore,Sally,Robinson,59,Partner,Single,Female,"Nurse, adult",None,None
38,King Shore,Denis,Lowe,62,Head,Divorced,Male,Secretary/administrator,None,None
38,King Shore,Carol,Lowe,4,Granddaughter,NA,Female,Child,None,NA
39,King Shore,Charlene,Kelly,45,Head,Married,Female,Estate agent,None,Christian
39,King Shore,Connor,Kelly,48,Husband,Married,Male,"Restaurant manager, fast food",None,Christian
40,King Shore,Cheryl,Williams,29,Head,Single,Female,Public librarian,None,Methodist
40,King Shore,Edward,Taylor,53,Lodger,Single,Male,Industrial/product designer,None,None
41,King Shore,Fiona,John,52,Head,Single,Female,"Lecturer, higher education",None,Christian
41,King Shore,Allan,Akhtar,52,Partner,Single,Male,Architectural technologist,None,Christian
41,King Shore,Jade,John,13,Daughter,NA,Female,Student,None,NA
41,King Shore,Terence,John,9,Son,NA,Male,Student,None,NA
41,King Shore,Joanna,Burton,28,Cousin,Single,Female,Insurance risk surveyor,None,None
42,King Shore,Gillian,Adams,48,Head,Married,Female,Social researcher,None,Christian
42,King Shore,Paul,Adams,50,Husband,Married,Male,Technical brewer,None,Christian
43,King Shore,Adam,Pratt,27,Head,Married,Male,Editorial assistant,None,None
43,King Shore,Catherine,Pratt,25,Wife,Married,Female,Unemployed,None,None
44,King Shore,Sean,Armstrong,42,Head,Divorced,Male,Unemployed,Physical Disability,None
44,King Shore,Simon,Armstrong,3,Grandson,NA,Male,Child,None,NA
45,King Shore,Pamela,Smith,84,Head,Single,Female,Retired Insurance risk surveyor,None,Christian
46,King Shore,Kimberley,Ellis,58,Head,Married,f,Multimedia programmer,None,Christian
46,King Shore,Stephen,Ellis,57,Husband,Married,Male,Lexicographer,None,Christian
46,King Shore,Gemma,Ellis,34,Daughter,Divorced,Female,"Pilot, airline",None,Christian
46,King Shore,Caroline,Ellis,31,Daughter,Divorced,Female,"Doctor, general practice",None,Christian
46,King Shore,Sally,Brown-Ellis,27,Daughter,Divorced,Female,Biomedical scientist,Deaf,Christian
